"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp"
"STR_OZ_FACTION_CAND","кандидат:","candidate:","кандидат:","кандидат:","кандидат:","кандидат:","кандидат:","кандидат:","кандидат:","кандидат:","кандидат:","кандидат:","кандидат:","кандидат:"
"STR_OZ_FACTION_PROMOTE","ПIДВИЩИТИ","PROMOTE","ПIДВИЩИТИ","ПIДВИЩИТИ","ПIДВИЩИТИ","ПIДВИЩИТИ","ПIДВИЩИТИ","ПIДВИЩИТИ","ПIДВИЩИТИ","ПIДВИЩИТИ","ПIДВИЩИТИ","ПIДВИЩИТИ","ПIДВИЩИТИ","ПIДВИЩИТИ"
"STR_OZ_FACTION_DEMOTE","ЗНИЗИТИ","DEMOTE","ЗНИЗИТИ","ЗНИЗИТИ","ЗНИЗИТИ","ЗНИЗИТИ","ЗНИЗИТИ","ЗНИЗИТИ","ЗНИЗИТИ","ЗНИЗИТИ","ЗНИЗИТИ","ЗНИЗИТИ","ЗНИЗИТИ","ЗНИЗИТИ"
"STR_OZ_FACTION_LEAVE","ПОКИНУТИ УГРУПОВАННЯ","LEAVE FACTION","ПОКИНУТИ УГРУПОВАННЯ","ПОКИНУТИ УГРУПОВАННЯ","ПОКИНУТИ УГРУПОВАННЯ","ПОКИНУТИ УГРУПОВАННЯ","ПОКИНУТИ УГРУПОВАННЯ","ПОКИНУТИ УГРУПОВАННЯ","ПОКИНУТИ УГРУПОВАННЯ","ПОКИНУТИ УГРУПОВАННЯ","ПОКИНУТИ УГРУПОВАННЯ","ПОКИНУТИ УГРУПОВАННЯ","ПОКИНУТИ УГРУПОВАННЯ","ПОКИНУТИ УГРУПОВАННЯ"
"STR_OZ_F_AGAIN","натисніть ще раз, щоб підтвердити","click again to confirm","натисніть ще раз, щоб підтвердити","натисніть ще раз, щоб підтвердити","натисніть ще раз, щоб підтвердити","натисніть ще раз, щоб підтвердити","натисніть ще раз, щоб підтвердити","натисніть ще раз, щоб підтвердити","натисніть ще раз, щоб підтвердити","натисніть ще раз, щоб підтвердити","натисніть ще раз, щоб підтвердити","натисніть ще раз, щоб підтвердити","натисніть ще раз, щоб підтвердити","натисніть ще раз, щоб підтвердити"
"STR_OZ_F_ASK_KICK","Вигнати з угруповання:","Remove from the faction:","Вигнати з угруповання:","Вигнати з угруповання:","Вигнати з угруповання:","Вигнати з угруповання:","Вигнати з угруповання:","Вигнати з угруповання:","Вигнати з угруповання:","Вигнати з угруповання:","Вигнати з угруповання:","Вигнати з угруповання:","Вигнати з угруповання:","Вигнати з угруповання:"
"STR_OZ_F_ASK_LEAD","Передати лідерство:","Hand leadership to:","Передати лідерство:","Передати лідерство:","Передати лідерство:","Передати лідерство:","Передати лідерство:","Передати лідерство:","Передати лідерство:","Передати лідерство:","Передати лідерство:","Передати лідерство:","Передати лідерство:","Передати лідерство:"
"STR_OZ_F_ASK_RANK","Новий ранг в угрупованні для","New faction rank for","Новий ранг в угрупованні для","Новий ранг в угрупованні для","Новий ранг в угрупованні для","Новий ранг в угрупованні для","Новий ранг в угрупованні для","Новий ранг в угрупованні для","Новий ранг в угрупованні для","Новий ранг в угрупованні для","Новий ранг в угрупованні для","Новий ранг в угрупованні для","Новий ранг в угрупованні для","Новий ранг в угрупованні для"
"STR_OZ_F_ASK_LEAVE","Ви втрачаєте угруповання","Leave","Ви втрачаєте угруповання","Ви втрачаєте угруповання","Ви втрачаєте угруповання","Ви втрачаєте угруповання","Ви втрачаєте угруповання","Ви втрачаєте угруповання","Ви втрачаєте угруповання","Ви втрачаєте угруповання","Ви втрачаєте угруповання","Ви втрачаєте угруповання","Ви втрачаєте угруповання","Ви втрачаєте угруповання"
"STR_OZ_F_ASK_JOIN","Вступ до угруповання","Join","Вступ до угруповання","Вступ до угруповання","Вступ до угруповання","Вступ до угруповання","Вступ до угруповання","Вступ до угруповання","Вступ до угруповання","Вступ до угруповання","Вступ до угруповання","Вступ до угруповання","Вступ до угруповання","Вступ до угруповання"
"STR_OZ_F_LOSE","ви втрачаєте угруповання","you will leave","ви втрачаєте угруповання","ви втрачаєте угруповання","ви втрачаєте угруповання","ви втрачаєте угруповання","ви втрачаєте угруповання","ви втрачаєте угруповання","ви втрачаєте угруповання","ви втрачаєте угруповання","ви втрачаєте угруповання","ви втрачаєте угруповання","ви втрачаєте угруповання","ви втрачаєте угруповання"
"STR_OZ_F_LOSE_RANK","ранг","rank","ранг","ранг","ранг","ранг","ранг","ранг","ранг","ранг","ранг","ранг","ранг","ранг"
"STR_OZ_F_LOSE_LEAD","і посаду лідера","and the leader post","і посаду лідера","і посаду лідера","і посаду лідера","і посаду лідера","і посаду лідера","і посаду лідера","і посаду лідера","і посаду лідера","і посаду лідера","і посаду лідера","і посаду лідера","і посаду лідера"
"STR_OZ_F_NO_RANK","без рангу","no rank","без рангу","без рангу","без рангу","без рангу","без рангу","без рангу","без рангу","без рангу","без рангу","без рангу","без рангу","без рангу"
